gesto,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
rock,0.491967,0.804502,-0.000000,0.418419,0.715823,-0.019221,0.391694,0.559660,-0.032930,0.377922,0.439305,-0.050110,0.317117,0.353383,-0.066365,0.436025,0.464897,-0.004457,0.433701,0.319699,-0.032277,0.423759,0.220137,-0.056281,0.417794,0.131364,-0.071690,0.501478,0.489383,-0.010990,0.517522,0.416602,-0.053307,0.482907,0.529992,-0.073174,0.463851,0.596612,-0.076603,0.566476,0.524026,-0.021698,0.579464,0.467808,-0.059625,0.523676,0.574015,-0.066798,0.493015,0.635837,-0.061428,0.631793,0.565047,-0.036191,0.670974,0.449778,-0.059157,0.695563,0.387169,-0.068036,0.725501,0.315901,-0.070146
rock,0.496228,0.792895,-0.000000,0.419773,0.704029,-0.019779,0.390658,0.541593,-0.033817,0.371147,0.419811,-0.051736,0.310879,0.330509,-0.068611,0.452492,0.451114,-0.001094,0.454780,0.305819,-0.028245,0.446080,0.208764,-0.051993,0.439463,0.123956,-0.067168,0.514067,0.478487,-0.007852,0.518548,0.405421,-0.049142,0.478792,0.514888,-0.069929,0.457379,0.582695,-0.074005,0.574249,0.514884,-0.019176,0.576029,0.460614,-0.056185,0.518613,0.566859,-0.064273,0.488538,0.629259,-0.059568,0.635047,0.556406,-0.034463,0.675520,0.438706,-0.057193,0.697572,0.374247,-0.066465,0.724890,0.302243,-0.068794
rock,0.467472,0.751246,-0.000000,0.382658,0.661268,-0.009384,0.352968,0.503620,-0.019271,0.335209,0.384650,-0.034308,0.266447,0.300116,-0.048062,0.444595,0.406680,0.007101,0.451604,0.264244,-0.017113,0.443162,0.169652,-0.038126,0.437599,0.087246,-0.051531,0.499960,0.443263,-0.004381,0.473360,0.373361,-0.043087,0.429621,0.484450,-0.060774,0.417142,0.550170,-0.062365,0.550043,0.483896,-0.019573,0.522998,0.424682,-0.053617,0.468495,0.525972,-0.057888,0.449931,0.586072,-0.050615,0.599673,0.526749,-0.038011,0.627739,0.404176,-0.059169,0.636923,0.334246,-0.065924,0.655590,0.258748,-0.066095
rock,0.445642,0.723571,-0.000000,0.364323,0.612392,0.004812,0.339152,0.475227,-0.000145,0.322791,0.373514,-0.012618,0.268339,0.290269,-0.024202,0.441678,0.402178,0.016342,0.453866,0.257623,-0.003476,0.449272,0.167542,-0.019357,0.448535,0.090378,-0.029765,0.488481,0.438509,-0.002402,0.447937,0.364154,-0.036703,0.402919,0.463814,-0.049258,0.394022,0.521490,-0.048363,0.529528,0.477314,-0.023893,0.484483,0.417450,-0.055959,0.424944,0.509663,-0.057551,0.410061,0.567684,-0.049222,0.568828,0.518093,-0.047115,0.585934,0.403424,-0.070008,0.587633,0.331747,-0.076865,0.607111,0.259078,-0.077034
rock,0.425136,0.729595,-0.000000,0.353971,0.611950,0.011174,0.332927,0.473476,0.009559,0.320212,0.368185,-0.001039,0.286864,0.284130,-0.010636,0.441545,0.406315,0.028814,0.455504,0.260349,0.011512,0.444664,0.165384,-0.003348,0.440492,0.082720,-0.013206,0.479556,0.435215,0.007696,0.428805,0.349510,-0.025267,0.378656,0.446155,-0.037838,0.368969,0.501067,-0.036296,0.510894,0.470437,-0.016080,0.455527,0.396503,-0.046981,0.401660,0.492517,-0.047926,0.395779,0.551814,-0.038593,0.541491,0.511647,-0.041193,0.551076,0.389145,-0.062361,0.549968,0.318900,-0.068011,0.570767,0.247595,-0.067118
rock,0.415634,0.726399,-0.000000,0.341641,0.604501,0.013767,0.323393,0.469671,0.013037,0.313858,0.366401,0.003114,0.283198,0.282788,-0.006159,0.441175,0.400873,0.027188,0.454192,0.254971,0.009320,0.440680,0.161362,-0.005216,0.435383,0.080790,-0.014762,0.476697,0.432738,0.004402,0.419298,0.343648,-0.028761,0.368888,0.443130,-0.040330,0.364081,0.499298,-0.038367,0.506535,0.470793,-0.020812,0.442997,0.391652,-0.052587,0.391434,0.488201,-0.053140,0.391913,0.550115,-0.043785,0.534940,0.513214,-0.046972,0.545681,0.388950,-0.070160,0.542025,0.317161,-0.076655,0.562170,0.246795,-0.076288
rock,0.412408,0.724622,-0.000000,0.335691,0.609670,0.015892,0.314369,0.472518,0.015810,0.303119,0.370396,0.006538,0.263307,0.289374,-0.002080,0.434143,0.400029,0.027254,0.447119,0.254779,0.010348,0.435725,0.160600,-0.003454,0.431043,0.081271,-0.012435,0.471899,0.431575,0.004289,0.413572,0.342533,-0.026413,0.367094,0.439877,-0.036381,0.361281,0.499214,-0.033721,0.502540,0.469415,-0.020688,0.437893,0.389677,-0.049317,0.390861,0.484377,-0.047745,0.391250,0.545796,-0.037669,0.529950,0.511407,-0.046619,0.537944,0.386641,-0.067362,0.529297,0.315086,-0.072000,0.542816,0.245568,-0.070553
rock,0.420554,0.723519,-0.000000,0.337167,0.612704,0.004195,0.306890,0.470668,0.000374,0.288717,0.367428,-0.011228,0.238487,0.286203,-0.021840,0.415004,0.400003,0.024151,0.415877,0.255222,0.005667,0.402115,0.161537,-0.011008,0.393416,0.081830,-0.021617,0.459646,0.430154,0.007388,0.408015,0.347081,-0.026930,0.370134,0.449460,-0.042086,0.363974,0.514202,-0.041606,0.499900,0.464985,-0.012297,0.444024,0.395253,-0.043040,0.403060,0.494934,-0.045770,0.401101,0.557398,-0.037438,0.541414,0.503354,-0.033994,0.548121,0.381887,-0.053641,0.546424,0.311910,-0.059475,0.561701,0.238416,-0.058748
rock,0.452310,0.747739,-0.000000,0.378614,0.656596,-0.021739,0.353134,0.519539,-0.033169,0.350198,0.404715,-0.047184,0.309350,0.318191,-0.059892,0.382316,0.421604,0.000365,0.367775,0.290473,-0.024875,0.355340,0.198550,-0.046259,0.345676,0.116973,-0.059314,0.453750,0.438364,-0.003426,0.462833,0.357194,-0.043229,0.433120,0.452723,-0.062437,0.416219,0.512934,-0.065056,0.518719,0.467383,-0.012177,0.526123,0.412431,-0.049275,0.474849,0.515885,-0.057035,0.447667,0.582129,-0.051045,0.583225,0.504013,-0.024810,0.614976,0.399823,-0.048413,0.633529,0.334793,-0.058512,0.656573,0.263922,-0.060488
rock,0.453392,0.753427,-0.000000,0.392850,0.657206,-0.030453,0.379797,0.510148,-0.044359,0.377773,0.385048,-0.058775,0.332028,0.295475,-0.071727,0.412703,0.414531,-0.003922,0.411739,0.267937,-0.028400,0.403775,0.164924,-0.051365,0.403571,0.074255,-0.066748,0.480559,0.442436,-0.003202,0.500402,0.371646,-0.043160,0.462374,0.476898,-0.064886,0.442575,0.534649,-0.069508,0.542489,0.478187,-0.007897,0.565028,0.423301,-0.046569,0.506370,0.522949,-0.059339,0.475153,0.583554,-0.056877,0.603377,0.518472,-0.016794,0.649511,0.423832,-0.040598,0.677442,0.365682,-0.053128,0.710365,0.299823,-0.057377
