timestamp,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
1780662751966,0.612323,0.717613,-2.19483e-08,0.542006,0.67351,-0.03405,0.50354,0.604781,-0.0702345,0.483605,0.564498,-0.0935333,0.490837,0.535777,-0.114715,0.530215,0.508207,-0.0975734,0.497784,0.462633,-0.120495,0.470481,0.47892,-0.135784,0.484114,0.5131,-0.154187,0.533692,0.509776,-0.0858209,0.564927,0.480536,-0.132233,0.553399,0.512804,-0.162694,0.555753,0.533687,-0.18598,0.562239,0.508981,-0.0682546,0.595609,0.486402,-0.112534,0.567399,0.522814,-0.158698,0.524544,0.552235,-0.190886,0.594212,0.520516,-0.0478217,0.598635,0.498788,-0.0877557,0.578608,0.514756,-0.123279,0.550075,0.516058,-0.151095
1780662752196,0.612296,0.713821,-2.29167e-08,0.536199,0.683172,-0.0310924,0.494777,0.617139,-0.0666392,0.471096,0.572863,-0.0901009,0.472272,0.537382,-0.111615,0.518023,0.510741,-0.094557,0.487635,0.479629,-0.118973,0.462173,0.493643,-0.135144,0.476331,0.523866,-0.154273,0.527097,0.501646,-0.0861521,0.556653,0.487056,-0.134622,0.547003,0.516677,-0.166022,0.551551,0.533115,-0.19012,0.561551,0.49315,-0.0722125,0.594971,0.47887,-0.120028,0.56869,0.512276,-0.167865,0.527739,0.536374,-0.201068,0.599685,0.498222,-0.0550775,0.602864,0.481938,-0.0990665,0.582463,0.495677,-0.136764,0.553749,0.492965,-0.165934
1780662752231,0.607924,0.714438,-2.32466e-08,0.535928,0.682573,-0.0309837,0.498083,0.615866,-0.066057,0.477692,0.571787,-0.0890152,0.482194,0.536536,-0.110013,0.519673,0.507806,-0.0931578,0.48755,0.480949,-0.116573,0.463259,0.498373,-0.132429,0.479454,0.530364,-0.151421,0.52761,0.499217,-0.0842511,0.554735,0.489773,-0.131669,0.54879,0.523682,-0.16293,0.556685,0.542761,-0.187004,0.560913,0.491679,-0.0697711,0.592557,0.481674,-0.116605,0.570099,0.517789,-0.16463,0.532554,0.544141,-0.198096,0.597686,0.498126,-0.0520609,0.601283,0.484868,-0.0952412,0.582203,0.500907,-0.132908,0.554681,0.499732,-0.162138
1780662752261,0.613205,0.714404,-2.31527e-08,0.544428,0.680206,-0.0305887,0.50541,0.612634,-0.0663975,0.482656,0.568931,-0.0901447,0.482723,0.534679,-0.111928,0.520904,0.507486,-0.0953189,0.482662,0.481558,-0.119821,0.455917,0.49957,-0.136302,0.470899,0.531378,-0.155685,0.527926,0.499898,-0.087002,0.547648,0.494394,-0.135026,0.540206,0.53017,-0.166248,0.546856,0.54987,-0.190462,0.560012,0.492947,-0.0729689,0.585594,0.487994,-0.120059,0.561178,0.526823,-0.167601,0.521477,0.554881,-0.200952,0.595816,0.499346,-0.0556811,0.593916,0.489914,-0.0989922,0.574516,0.509436,-0.136348,0.546473,0.510711,-0.165463
1780662752294,0.613374,0.71484,-2.34458e-08,0.53842,0.683405,-0.0312306,0.498316,0.615568,-0.0667081,0.476431,0.571674,-0.0900112,0.477244,0.538881,-0.111427,0.519956,0.506826,-0.0947634,0.485317,0.477737,-0.118302,0.460246,0.493852,-0.134182,0.475955,0.524733,-0.153268,0.528826,0.499041,-0.0860422,0.551665,0.490922,-0.132949,0.546602,0.52582,-0.163655,0.555588,0.545783,-0.187646,0.562983,0.492294,-0.0717027,0.591247,0.485214,-0.118039,0.570613,0.522341,-0.165529,0.535093,0.550066,-0.198927,0.600728,0.499143,-0.0542296,0.600632,0.487372,-0.0972206,0.582606,0.505593,-0.134584,0.55688,0.506974,-0.163711
1780662752327,0.611564,0.712645,-2.32448e-08,0.53949,0.680902,-0.0326568,0.499584,0.611845,-0.0687103,0.476192,0.568026,-0.0919973,0.477318,0.535651,-0.11325,0.52283,0.507241,-0.0980653,0.486721,0.481753,-0.122454,0.461218,0.501625,-0.138403,0.477589,0.535114,-0.157302,0.529768,0.500171,-0.0881288,0.550912,0.494417,-0.135739,0.545443,0.531661,-0.166199,0.555281,0.551811,-0.189901,0.561147,0.493549,-0.0724881,0.587021,0.487273,-0.119066,0.565395,0.52497,-0.166066,0.530654,0.552548,-0.199083,0.595315,0.500167,-0.0537493,0.594748,0.489242,-0.0966253,0.575988,0.507149,-0.133619,0.550023,0.5076,-0.162426
1780662752362,0.615893,0.709762,-2.28751e-08,0.540264,0.677284,-0.0311939,0.499021,0.610628,-0.0664086,0.476071,0.569645,-0.0890628,0.47732,0.539343,-0.109694,0.524,0.508812,-0.0956464,0.488467,0.479272,-0.118407,0.4615,0.494559,-0.133585,0.475622,0.524345,-0.152002,0.531412,0.501251,-0.0856625,0.550595,0.490944,-0.131275,0.542952,0.522371,-0.160752,0.550498,0.541345,-0.183927,0.563452,0.493994,-0.0698244,0.587225,0.484682,-0.114169,0.564797,0.516636,-0.160304,0.52878,0.541518,-0.193011,0.598251,0.499719,-0.0508498,0.595714,0.485793,-0.0918544,0.575614,0.500153,-0.128088,0.548716,0.499142,-0.15658
1780662752394,0.617526,0.712754,-2.26883e-08,0.539808,0.676716,-0.0303244,0.497333,0.607127,-0.0649665,0.474172,0.563872,-0.0873184,0.47654,0.532516,-0.107689,0.525769,0.509119,-0.094068,0.491572,0.473962,-0.11642,0.464591,0.48874,-0.131365,0.478889,0.518718,-0.149701,0.534741,0.502834,-0.0845846,0.556651,0.486054,-0.130159,0.548114,0.516264,-0.159893,0.555325,0.534675,-0.183174,0.567114,0.496358,-0.0692168,0.593075,0.481418,-0.113479,0.568715,0.511895,-0.159771,0.532231,0.535621,-0.192559,0.602376,0.502819,-0.0506713,0.601164,0.485901,-0.0915082,0.581898,0.50068,-0.127656,0.556656,0.500193,-0.156121
1780662752428,0.614202,0.711598,-2.2921e-08,0.542646,0.676457,-0.0297822,0.503297,0.608556,-0.0646676,0.480791,0.565224,-0.0872258,0.483752,0.532171,-0.1078,0.527791,0.509102,-0.0955633,0.49326,0.472959,-0.118378,0.464842,0.48603,-0.133309,0.478179,0.515226,-0.151577,0.533767,0.501957,-0.0863677,0.555363,0.483242,-0.132671,0.546671,0.510719,-0.162164,0.554576,0.528539,-0.185146,0.563287,0.494752,-0.0711081,0.589276,0.47925,-0.115862,0.565303,0.509695,-0.161621,0.529424,0.533936,-0.19389,0.595684,0.500389,-0.0525834,0.593121,0.484363,-0.0937439,0.573834,0.499752,-0.129675,0.548923,0.49966,-0.157846
1780662752460,0.615076,0.713936,-2.34513e-08,0.542488,0.675957,-0.02959,0.500683,0.603983,-0.06334,0.47642,0.556834,-0.0848689,0.477256,0.520893,-0.104474,0.525486,0.502512,-0.0921719,0.494287,0.459938,-0.113211,0.470501,0.46983,-0.127232,0.487074,0.496645,-0.145215,0.530195,0.496137,-0.0829981,0.553195,0.471308,-0.127394,0.547965,0.496381,-0.156386,0.558995,0.512604,-0.179278,0.55976,0.490092,-0.067992,0.58829,0.469524,-0.111897,0.568802,0.499031,-0.158069,0.537391,0.522864,-0.190695,0.593507,0.497748,-0.0497678,0.592519,0.478934,-0.0910445,0.576705,0.494088,-0.127449,0.555569,0.493878,-0.155901
